host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,100%,t,t,f,191,t,4.86,t,2.66
100%,99%,f,t,t,232,t,4.73,t,0.5
70%,100%,f,t,t,1291,t,4.78,t,0.85
70%,100%,f,t,t,718,t,4.5,t,0.1
100%,100%,f,t,t,223,t,4.62,t,1.07
100%,81%,f,t,t,227,t,5,t,0.27
60%,19%,f,t,t,189,t,4.75,f,0.44
100%,99%,t,t,t,474,t,4.92,t,2.82
100%,100%,t,t,t,258,t,5,t,1.23
100%,89%,f,t,t,914,t,5,f,0.03
100%,99%,t,t,f,166,t,4.82,t,0.54
100%,100%,f,t,f,158,t,4.46,f,1.7
100%,100%,f,t,t,1295,t,4.6,f,0.07
100%,91%,f,t,f,295,t,4.83,f,0.08
100%,97%,f,t,f,156,t,4.54,t,0.56
90%,100%,f,t,t,406,t,5,t,0.02
100%,97%,t,t,t,3151,t,5,t,0.04
90%,100%,f,t,t,450,t,5,t,0.03
100%,100%,f,t,t,442,t,4.63,t,0.39
100%,100%,f,t,f,340,t,5,t,0.04
96%,98%,f,t,t,159,t,4.64,f,1.36
100%,33%,t,t,t,100,t,5,f,0.39
100%,76%,f,t,t,160,t,4.65,t,0.73
89%,99%,f,t,f,165,t,5,t,0.03
90%,100%,f,t,t,1099,t,5,t,0.07
80%,100%,f,t,t,287,t,5,t,0.09
100%,69%,f,t,t,479,t,5,f,0.24
90%,100%,f,t,t,1099,t,5,t,0.03
100%,100%,t,t,t,179,t,4.67,t,0.3
100%,99%,f,t,t,154,t,4.85,t,0.31
89%,99%,f,t,f,107,t,5,t,0.03
100%,98%,f,t,t,923,t,5,t,0.06
100%,55%,t,t,t,289,t,4.6,f,0.21
100%,100%,f,t,t,3536,t,4.09,f,0.17
100%,90%,f,t,t,280,t,4.5,t,0.06
100%,67%,f,t,f,850,t,5,f,0.09
100%,99%,t,t,t,236,t,4.33,t,1.11
100%,100%,f,t,t,6045,t,5,t,0.16
100%,100%,f,t,t,8060,t,5,t,0.09
100%,97%,t,t,t,462,t,5,t,0.09
